56 000 DH,Année-Modèle:1997,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 3,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Tan-Tan
75 000 DH,Année-Modèle:2008,Kilométrage:15 000 - 19 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:407,Puissance fiscale:8 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Kénitra
85 000 DH,Année-Modèle:2015,Kilométrage:55 000 - 59 999,Type de carburant:Diesel,Marque:Ford,Modèle:Focus,Puissance fiscale:8 CV,Secteur:centre_ville,"Type:Voitures, Offre", Casablanca
118 000 DH,Année-Modèle:2014,Kilométrage:10 000 - 14 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Lodgy,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
85 000 DH,Année-Modèle:2015,Kilométrage:15 000 - 19 999,Type de carburant:Diesel,Marque:Dacia,Modèle:LOGAN MCV,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Barkine
50 000 DH,Année-Modèle:2005,Kilométrage:25 000 - 29 999,Type de carburant:Diesel,Marque:Citroen,Modèle:Berlingo,Puissance fiscale:7 CV,-,"Type:Voitures, Offre", Kénitra,Numéro vérifié 
78 000 DH,Année-Modèle:2014,Kilométrage:65 000 - 69 999,Type de carburant:Diesel,Marque:Ford,Modèle:Focus,Puissance fiscale:7 CV,Secteur:ain_diab,"Type:Voitures, Offre", Casablanca
40 000 DH,Année-Modèle:2001,Kilométrage:250 000 - 299 999,Type de carburant:Essence,Marque:Seat,Modèle:Ibiza,Puissance fiscale:-,Secteur:hassan,"Type:Voitures, Offre", Rabat
28 000 DH,Année-Modèle:2004,Kilométrage:40 000 - 44 999,Type de carburant:Essence,Marque:Volkswagen,Modèle:Gol,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Casablanca
60 000 DH,Année-Modèle:2006,Kilométrage:130 000 - 139 999,Type de carburant:Essence,Marque:Peugeot,Modèle:307 CC,Puissance fiscale:11 CV,-,"Type:Voitures, Offre", Marrakech
78 000 DH,Année-Modèle:2010,Kilométrage:190 000 - 199 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Polo,Puissance fiscale:-,Secteur:najah,"Type:Voitures, Offre", Agadir
22 000 DH,Année-Modèle:1990,Kilométrage:200 000 - 249 999,Type de carburant:Essence,Marque:BMW,Modèle:M3,Puissance fiscale:-,-,"Type:Voitures, Offre", Khouribga
50 000 DH,Année-Modèle:2007,Kilométrage:120 000 - 129 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 2,Puissance fiscale:-,Secteur:cite_californie,"Type:Voitures, Offre", Tanger
45 000 DH,Année-Modèle:2005,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Hyundai,Modèle:Atos Prime,Puissance fiscale:5 CV,-,"Type:Voitures, Offre", Temara
160 000 DH,Année-Modèle:2017,Kilométrage:30 000 - 34 999,Type de carburant:Diesel,Marque:Renault,Modèle:Clio,Puissance fiscale:6 CV,Secteur:anfa,"Type:Voitures, Offre", Casablanca
83 000 DH,Année-Modèle:2011,Kilométrage:60 000 - 64 999,Type de carburant:Diesel,Marque:Citroen,Modèle:C3,Puissance fiscale:6 CV,Secteur:hay_riad,"Type:Voitures, Offre", Rabat,Numéro vérifié 
40 000 DH,Année-Modèle:2008,Kilométrage:15 000 - 19 999,Type de carburant:Essence,Marque:Hyundai,Modèle:i 10,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Midelt
180 000 DH,Année-Modèle:2016,Kilométrage:40 000 - 44 999,Type de carburant:Diesel,Marque:Alfa Romeo,Modèle:Giulietta,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
85 000 DH,Année-Modèle:2005,Kilométrage:140 000 - 149 999,Type de carburant:Diesel,Marque:BMW,Modèle:X5,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Laâyoune
80 000 DH,Année-Modèle:1998,Kilométrage:25 000 - 29 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:-,-,"Type:Voitures, Offre", Fès
410 000 DH,Année-Modèle:2018,Kilométrage:10 000 - 14 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Tiguan,Puissance fiscale:8 CV,Secteur:souani,"Type:Voitures, Offre", Tanger
51 000 DH,Année-Modèle:2004,Kilométrage:130 000 - 139 999,Type de carburant:Essence,Marque:Peugeot,Modèle:206,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat,Numéro vérifié 
130 000 DH,Année-Modèle:2014,Kilométrage:40 000 - 44 999,Type de carburant:Diesel,Marque:Hyundai,Modèle:Accent,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat,Numéro vérifié 
44 000 DH,Année-Modèle:2009,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Dacia,Modèle:Logan,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Agadir,Numéro vérifié 
22 000 DH,Année-Modèle:1980 ou plus ancien,Kilométrage:10 000 - 14 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:240,Puissance fiscale:-,Secteur:sidi_bernoussi,"Type:Voitures, Offre", Casablanca
2 000 DH,Année-Modèle:1984,Kilométrage:0 - 4 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:207D,Puissance fiscale:-,Secteur:mhannech,"Type:Voitures, Offre", Tétouan
45 000 DH,Année-Modèle:2007,Kilométrage:130 000 - 139 999,Type de carburant:Essence,Marque:Renault,Modèle:Clio,Puissance fiscale:7 CV,-,"Type:Voitures, Offre", Tanger
10 500 DH,Année-Modèle:2011,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:308,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat,Numéro vérifié 
140 000 DH,Année-Modèle:2014,Kilométrage:95 000 - 99 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Touran,Puissance fiscale:-,Secteur:la_ville_haute,"Type:Voitures, Offre", Kénitra
41 000 DH,Année-Modèle:2003,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Fiat,Modèle:Palio,Puissance fiscale:-,Secteur:sidi_moumen,"Type:Voitures, Offre", Casablanca
75 000 DH,Année-Modèle:2014,Kilométrage:160 000 - 169 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Logan,Puissance fiscale:-,-,"Type:Voitures, Offre", Meknès,Numéro vérifié 
158 000 DH,Année-Modèle:2009,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Audi,Modèle:A3,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
72 000 DH,Année-Modèle:2012,Kilométrage:120 000 - 129 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Logan,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Casablanca
86 000 DH,Année-Modèle:2013,Kilométrage:110 000 - 119 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Sandero,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat
55 000 DH,Année-Modèle:2008,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Citroen,Modèle:C1,Puissance fiscale:6 CV,Secteur:centre,"Type:Voitures, Offre", Kénitra,Numéro vérifié 
93 000 DH,Année-Modèle:2003,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 4,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Fquih Ben Saleh,Numéro vérifié 
58 000 DH,Année-Modèle:2009,Kilométrage:150 000 - 159 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:Partner,Puissance fiscale:7 CV,-,"Type:Voitures, Offre", Agadir,Numéro vérifié 
54 000 DH,Année-Modèle:2006,Kilométrage:160 000 - 169 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:Partner,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Fès,Numéro vérifié 
19 000 DH,Année-Modèle:1980 ou plus ancien,Kilométrage:5 000 - 9 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Golf,Puissance fiscale:5 CV,-,"Type:Voitures, Offre", Tanger,Numéro vérifié 
40 000 DH,Année-Modèle:2010,Kilométrage:5 000 - 9 999,Type de carburant:Essence,Marque:Chery,Modèle:A113,Puissance fiscale:7 CV,-,"Type:Voitures, Offre", Tanger
83 000 DH,Année-Modèle:2013,Kilométrage:0 - 4 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:301,Puissance fiscale:-,Secteur:sidi_bernoussi,"Type:Voitures, Offre", Casablanca
270 000 DH,Année-Modèle:2013,Kilométrage:130 000 - 139 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 7,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Tanger,Numéro vérifié 
